shape,credit,songs,removed,decision,reviewed_by,harvested,candidates,examples,confidence,labels,matched_label
trimmed:featured,Robin Thicke feat. T.I. & Pharrell,1,feat. T.I. & Pharrell,Q467423,assistant,"Q467423 Robin Thicke [spotify, mb]","Q467423 Robin Thicke [human, spotify, mb, via 'Robin Thicke']",Blurred Lines (2013),assistant,Robin Thicke feat. T.I. & Pharrell | Robin Thicke,Robin Thicke
trimmed:featured,Sammy Kaye with Don Cornell,1,with Don Cornell,Q2217509,assistant,Q2217509 Sammy Kaye [mb],"Q2217509 Sammy Kaye [human, mb, via 'Sammy Kaye']",It Isn't Fair (1950),assistant,Sammy Kaye with Don Cornell | Sammy Kaye,Sammy Kaye
trimmed:featured,Saweetie feat. Doja Cat,1,feat. Doja Cat,Q50486592,assistant,"Q50486592 Saweetie [spotify, mb]","Q50486592 Saweetie [human, spotify, mb, via 'Saweetie']",Best Friend (2021),assistant,Saweetie feat. Doja Cat | Saweetie,Saweetie
trimmed:featured,Shakira featuring Wyclef Jean,1,featuring Wyclef Jean,Q34424,assistant,"Q34424 Shakira [spotify, mb]","Q34424 Shakira [human, spotify, mb, via 'Shakira']",Hips Don't Lie (2006),assistant,Shakira featuring Wyclef Jean | Shakira,Shakira
trimmed:featured,Sia feat. Sean Paul,1,feat. Sean Paul,Q181484,assistant,"Q181484 Sia [spotify, mb]","Q181484 Sia [human, spotify, mb, via 'Sia']",Cheap Thrills (2016),assistant,Sia feat. Sean Paul | Sia,Sia
trimmed:featured,Skrillex & Diplo with Justin Bieber,1,with Justin Bieber,Q18153648,assistant,"Q18153648 Jack Ü [spotify, mb]","Q18153648 Jack Ü [musical duo/male duo, spotify, mb, via 'Skrillex & Diplo']
Q19004 Skrillex [human, spotify, mb, via 'Skrillex']",Where Are U Now (2015),assistant,Skrillex & Diplo with Justin Bieber | Skrillex & Diplo | Skrillex,Skrillex & Diplo
trimmed:featured,Snoop Dogg featuring Pharrell,1,featuring Pharrell,Q6096,assistant,"Q6096 Snoop Dogg [spotify, mb]","Q6096 Snoop Dogg [human, spotify, mb, via 'Snoop Dogg']",Drop It Like It's Hot (2005),assistant,Snoop Dogg featuring Pharrell | Snoop Dogg,Snoop Dogg
trimmed:featured,Soulja Boy Tell 'Em featuring Sammie,1,featuring Sammie,Q313080,assistant,"Q313080 Soulja Boy [spotify, mb]","Q313080 Soulja Boy [human, spotify, mb, via ""Soulja Boy Tell 'Em""]",Kiss Me thru the Phone (2009),assistant,Soulja Boy Tell 'Em featuring Sammie | Soulja Boy Tell 'Em,Soulja Boy Tell 'Em
trimmed:featured,T-Pain featuring Yung Joc,1,featuring Yung Joc,Q221155,assistant,"Q221155 T-Pain [spotify, mb]","Q221155 T-Pain [human, spotify, mb, via 'T-Pain']",Buy U a Drank (Shawty Snappin') (2007),assistant,T-Pain featuring Yung Joc | T-Pain,T-Pain
trimmed:featured,T.I. featuring Justin Timberlake,1,featuring Justin Timberlake,Q214227,assistant,"Q214227 T.I. [spotify, mb]","Q214227 T.I. [human, spotify, mb, via 'T.I.']",Dead and Gone (2009),assistant,T.I. featuring Justin Timberlake | T.I.,T.I.
trimmed:featured,T.I. featuring Rihanna,1,featuring Rihanna,Q214227,assistant,"Q214227 T.I. [spotify, mb]","Q214227 T.I. [human, spotify, mb, via 'T.I.']",Live Your Life (2009),assistant,T.I. featuring Rihanna | T.I.,T.I.
trimmed:featured,Taio Cruz feat. Ludacris,1,feat. Ludacris,Q313370,assistant,"Q313370 Taio Cruz [spotify, mb]","Q313370 Taio Cruz [human, spotify, mb, via 'Taio Cruz']",Break Your Heart (2010),assistant,Taio Cruz feat. Ludacris | Taio Cruz,Taio Cruz
trimmed:featured,Taylor Swift feat. Ice Spice,1,feat. Ice Spice,Q26876,assistant,"Q26876 Taylor Swift [spotify, mb]","Q26876 Taylor Swift [human, spotify, mb, via 'Taylor Swift']",Karma (2023),assistant,Taylor Swift feat. Ice Spice | Taylor Swift,Taylor Swift
trimmed:featured,Taylor Swift feat. Kendrick Lamar,1,feat. Kendrick Lamar,Q26876,assistant,"Q26876 Taylor Swift [spotify, mb]","Q26876 Taylor Swift [human, spotify, mb, via 'Taylor Swift']",Bad Blood (2015),assistant,Taylor Swift feat. Kendrick Lamar | Taylor Swift,Taylor Swift
trimmed:featured,Taylor Swift feat. Post Malone,1,feat. Post Malone,Q26876,assistant,"Q26876 Taylor Swift [spotify, mb]","Q26876 Taylor Swift [human, spotify, mb, via 'Taylor Swift']",Fortnight (2024),assistant,Taylor Swift feat. Post Malone | Taylor Swift,Taylor Swift
trimmed:featured,Taylor Swift feat. The Civil Wars,1,feat. The Civil Wars,Q26876,assistant,"Q26876 Taylor Swift [spotify, mb]","Q26876 Taylor Swift [human, spotify, mb, via 'Taylor Swift']",Safe & Sound (2011),assistant,Taylor Swift feat. The Civil Wars | Taylor Swift,Taylor Swift
trimmed:featured,Teri DeSario with KC,1,with KC,Q520459,assistant,Q520459 Teri DeSario [mb],"Q520459 Teri DeSario [human, mb, via 'Teri DeSario']","Yes, I'm Ready (1980)",assistant,Teri DeSario with KC | Teri DeSario,Teri DeSario
trimmed:featured,The Beatles with Billy Preston,1,with Billy Preston,Q1299,assistant,"Q1299 The Beatles [spotify, mb]","Q1299 The Beatles [musical group, spotify, mb, via 'The Beatles']",Get Back (1969),assistant,The Beatles with Billy Preston | The Beatles,The Beatles
trimmed:featured,The Chainsmokers feat. Daya,1,feat. Daya,Q7721993,assistant,"Q7721993 The Chainsmokers [spotify, mb]","Q7721993 The Chainsmokers [musical duo/male duo, spotify, mb, via 'The Chainsmokers']",Don't Let Me Down (2016),assistant,The Chainsmokers feat. Daya | The Chainsmokers,The Chainsmokers
trimmed:featured,The Chainsmokers feat. Halsey,1,feat. Halsey,Q7721993,assistant,"Q7721993 The Chainsmokers [spotify, mb]","Q7721993 The Chainsmokers [musical duo/male duo, spotify, mb, via 'The Chainsmokers']",Closer (2016),assistant,The Chainsmokers feat. Halsey | The Chainsmokers,The Chainsmokers
trimmed:featured,The Chainsmokers feat. Rozes,1,feat. Rozes,Q7721993,assistant,"Q7721993 The Chainsmokers [spotify, mb]","Q7721993 The Chainsmokers [musical duo/male duo, spotify, mb, via 'The Chainsmokers']",Roses (2016),assistant,The Chainsmokers feat. Rozes | The Chainsmokers,The Chainsmokers
trimmed:featured,The Notorious B.I.G. featuring Puff Daddy and Mase,1,featuring Puff Daddy and Mase,Q179157,assistant,"Q179157 The Notorious B.I.G. [spotify, mb]","Q179157 The Notorious B.I.G. [human, spotify, mb, via 'The Notorious B.I.G.']",Mo Money Mo Problems (1997),assistant,The Notorious B.I.G. featuring Puff Daddy and Mase | The Notorious B.I.G.,The Notorious B.I.G.
trimmed:featured,The Pussycat Dolls featuring Busta Rhymes,1,featuring Busta Rhymes,Q102385,assistant,"Q102385 The Pussycat Dolls [spotify, mb]","Q102385 The Pussycat Dolls [musical group, spotify, mb, via 'The Pussycat Dolls']",Don't Cha (2005),assistant,The Pussycat Dolls featuring Busta Rhymes | The Pussycat Dolls,The Pussycat Dolls
trimmed:featured,The Pussycat Dolls featuring Snoop Dogg,1,featuring Snoop Dogg,Q102385,assistant,"Q102385 The Pussycat Dolls [spotify, mb]","Q102385 The Pussycat Dolls [musical group, spotify, mb, via 'The Pussycat Dolls']",Buttons (2006),assistant,The Pussycat Dolls featuring Snoop Dogg | The Pussycat Dolls,The Pussycat Dolls
trimmed:featured,The Weeknd feat. Daft Punk,1,feat. Daft Punk,Q2121062,assistant,"Q2121062 The Weeknd [spotify, mb]","Q2121062 The Weeknd [human, spotify, mb, via 'The Weeknd']",Starboy (2017),assistant,The Weeknd feat. Daft Punk | The Weeknd,The Weeknd
trimmed:featured,Timbaland featuring Keri Hilson,1,featuring Keri Hilson,Q179257,assistant,"Q179257 Timbaland [spotify, mb]","Q179257 Timbaland [human, spotify, mb, via 'Timbaland']",The Way I Are (2007),assistant,Timbaland featuring Keri Hilson | Timbaland,Timbaland
trimmed:featured,Timbaland featuring Nelly Furtado and Justin Timberlake,1,featuring Nelly Furtado and Justin Timberlake,Q179257,assistant,"Q179257 Timbaland [spotify, mb]","Q179257 Timbaland [human, spotify, mb, via 'Timbaland']",Give It to Me (2007),assistant,Timbaland featuring Nelly Furtado and Justin Timberlake | Timbaland,Timbaland
trimmed:featured,Timbaland featuring OneRepublic,1,featuring OneRepublic,Q179257,assistant,"Q179257 Timbaland [spotify, mb]","Q179257 Timbaland [human, spotify, mb, via 'Timbaland']",Apologize (2008),assistant,Timbaland featuring OneRepublic | Timbaland,Timbaland
trimmed:featured,Travie McCoy feat. Bruno Mars,1,feat. Bruno Mars,Q314107,assistant,"Q314107 Travie McCoy [spotify, mb]","Q314107 Travie McCoy [human, spotify, mb, via 'Travie McCoy']",Billionaire (2010),assistant,Travie McCoy feat. Bruno Mars | Travie McCoy,Travie McCoy
trimmed:featured,Twista featuring Kanye West and Jamie Foxx,1,featuring Kanye West and Jamie Foxx,Q448638,assistant,"Q448638 Twista [spotify, mb]","Q448638 Twista [human, spotify, mb, via 'Twista']",Slow Jamz (2004),assistant,Twista featuring Kanye West and Jamie Foxx | Twista,Twista
trimmed:featured,Uncle Kracker featuring Dobie Gray,1,featuring Dobie Gray,Q1299129,assistant,"Q1299129 Uncle Kracker [spotify, mb]","Q1299129 Uncle Kracker [human, spotify, mb, via 'Uncle Kracker']",Drift Away (2003),assistant,Uncle Kracker featuring Dobie Gray | Uncle Kracker,Uncle Kracker
trimmed:featured,Usher feat. will.i.am,1,feat. will.i.am,Q165911,assistant,"Q165911 Usher [spotify, mb]","Q165911 Usher ~ Usher (musician) [human, spotify, mb, via 'Usher']",OMG (2010),assistant,Usher feat. will.i.am | Usher,Usher
trimmed:featured,Usher featuring Lil Jon and Ludacris,1,featuring Lil Jon and Ludacris,Q165911,assistant,"Q165911 Usher [spotify, mb]","Q165911 Usher ~ Usher (musician) [human, spotify, mb, via 'Usher']",Yeah! (2004),assistant,Usher featuring Lil Jon and Ludacris | Usher,Usher
trimmed:featured,Usher featuring Young Jeezy,1,featuring Young Jeezy,Q165911,assistant,"Q165911 Usher [spotify, mb]","Q165911 Usher ~ Usher (musician) [human, spotify, mb, via 'Usher']",Love in This Club (2008),assistant,Usher featuring Young Jeezy | Usher,Usher
trimmed:featured,Wham! featuring George Michael,1,featuring George Michael,Q744087,assistant,"Q744087 Wham! [spotify, mb]","Q744087 Wham! [musical duo/male duo, spotify, mb, via 'Wham!']",Careless Whisper (1985),assistant,Wham! featuring George Michael | Wham!,Wham!
trimmed:featured,Whitney Houston featuring Faith Evans and Kelly Price,1,featuring Faith Evans and Kelly Price,Q34389,assistant,"Q34389 Whitney Houston [spotify, mb]","Q34389 Whitney Houston [human, spotify, mb, via 'Whitney Houston']",Heartbreak Hotel (1999),assistant,Whitney Houston featuring Faith Evans and Kelly Price | Whitney Houston,Whitney Houston
trimmed:featured,Young Money feat. Lloyd,1,feat. Lloyd,Q99493768,assistant,"Q99493768 Young Money [spotify, mb]","Q99493768 Young Money [musical group, spotify, mb, via 'Young Money']",BedRock (2010),assistant,Young Money feat. Lloyd | Young Money,Young Money
trimmed:featured,Zach Bryan feat. Kacey Musgraves,1,feat. Kacey Musgraves,Q106770023,assistant,"Q106770023 Zach Bryan [spotify, mb]","Q106770023 Zach Bryan [human, spotify, mb, via 'Zach Bryan']",I Remember Everything (2024),assistant,Zach Bryan feat. Kacey Musgraves | Zach Bryan,Zach Bryan
trimmed:featured,fun. feat. Janelle Monae,1,feat. Janelle Monae,Q838984,assistant,"Q838984 Fun [spotify, mb]","Q838984 Fun ~ Fun (band) [musical group, spotify, mb, via 'fun.']",We Are Young (2012),assistant,fun. feat. Janelle Monae | fun.,fun.
trimmed:backing-band,Paul Whiteman and His Orchestra,44,and His Orchestra,Q470182,assistant,"Q470182 Paul Whiteman [spotify, mb]","Q470182 Paul Whiteman [human, spotify, mb, via 'Paul Whiteman']",The Japanese Sandman (1920); Whispering (1920); Canadian Capers (1921); Cherie (1921),assistant,Paul Whiteman and His Orchestra | Paul Whiteman,Paul Whiteman
trimmed:backing-band,Isham Jones and His Orchestra,12,and His Orchestra,Q167409,assistant,Q167409 Isham Jones [mb],"Q167409 Isham Jones [human, mb, via 'Isham Jones']",Wabash Blues (1921); My Honey's Lovin' Arms (1922); On the Alamo (1922); Farewell Blues (1923),assistant,Isham Jones and His Orchestra | Isham Jones,Isham Jones
trimmed:backing-band,Ted Lewis and His Band,7,and His Band,Q447255,assistant,Q447255 Ted Lewis [mb],"Q447255 Ted Lewis ~ Ted Lewis (musician) [human, mb, via 'Ted Lewis']",When My Baby Smiles at Me (1920); All by Myself (1921); Dancing Fool (1922); Georgette (1922),assistant,Ted Lewis and His Band | Ted Lewis,Ted Lewis
trimmed:backing-band,Ben Bernie and His Orchestra,5,and His Orchestra,Q816444,assistant,Q816444 Ben Bernie [mb],"Q816444 Ben Bernie [human, mb, via 'Ben Bernie']",Oh! How I Miss You Tonight (1925); Sleepy Time Gal (1925); Sweet Georgia Brown (1925); 'Deed I Do (1927),assistant,Ben Bernie and His Orchestra | Ben Bernie,Ben Bernie
trimmed:backing-band,Ben Selvin and His Orchestra,5,and His Orchestra,Q304517,assistant,Q304517 Ben Selvin [mb],"Q304517 Ben Selvin [human, mb, via 'Ben Selvin']",Dardanella (1920); My Isle of Golden Dreams (1920); Where the Lazy Daisies Grow (1924); Manhattan (1925),assistant,Ben Selvin and His Orchestra | Ben Selvin,Ben Selvin
trimmed:backing-band,Roger Wolfe Kahn and His Orchestra,4,and His Orchestra,Q961834,assistant,"Q961834 Roger Wolfe Kahn [spotify, mb]","Q961834 Roger Wolfe Kahn [human, spotify, mb, via 'Roger Wolfe Kahn']",Clap Yo' Hands (1926); Russian Lullaby (1927); Sometimes I'm Happy (1927); Crazy Rhythm (1928),assistant,Roger Wolfe Kahn and His Orchestra | Roger Wolfe Kahn,Roger Wolfe Kahn
trimmed:backing-band,Ted Weems and His Orchestra,3,and His Orchestra,Q2399862,assistant,Q2399862 Ted Weems [mb],"Q2399862 Ted Weems [human, mb, via 'Ted Weems']",Somebody Stole My Gal (1924); You're the Cream in My Coffee (1928); Piccolo Pete (1929),assistant,Ted Weems and His Orchestra | Ted Weems,Ted Weems
trimmed:backing-band,Paul Whiteman and His Orchestra with Bing Crosby,2,and His Orchestra with Bing Crosby,Q470182,assistant,"Q470182 Paul Whiteman [spotify, mb]","Q470182 Paul Whiteman [human, spotify, mb, via 'Paul Whiteman']",Muddy Water (1927); Ol' Man River (1928),assistant,Paul Whiteman and His Orchestra with Bing Crosby | Paul Whiteman and His Orchestra | Paul Whiteman,Paul Whiteman
trimmed:backing-band,Red Nichols and His Five Pennies,2,and His Five Pennies,Q495464,assistant,Q495464 Red Nichols [mb],"Q495464 Red Nichols [human, mb, via 'Red Nichols']",Embraceable You (1930); I Got Rhythm (1930),assistant,Red Nichols and His Five Pennies | Red Nichols,Red Nichols
trimmed:backing-band,Abe Lyman and His Orchestra,1,and His Orchestra,Q318176,assistant,Q318176 Abe Lyman [mb],"Q318176 Abe Lyman [human, mb, via 'Abe Lyman']",Mary Lou (1926),assistant,Abe Lyman and His Orchestra | Abe Lyman,Abe Lyman
trimmed:backing-band,Al Dexter and His Troopers,1,and His Troopers,Q1423868,assistant,Q1423868 Al Dexter [mb],"Q1423868 Al Dexter [human, mb, via 'Al Dexter']",Pistol Packin' Mama (1943),assistant,Al Dexter and His Troopers | Al Dexter,Al Dexter
trimmed:backing-band,Art Hickman and His Orchestra,1,and His Orchestra,Q2864536,assistant,Q2864536 Arthur George Hickman [mb],"Q2864536 Arthur George Hickman ~ Art Hickman [human, mb, via 'Art Hickman']",Hold Me (1920),assistant,Art Hickman and His Orchestra | Art Hickman,Art Hickman
trimmed:backing-band,Ben Pollack and His Californians,1,and His Californians,Q816581,assistant,Q816581 Ben Pollack [mb],"Q816581 Ben Pollack [human, mb, via 'Ben Pollack']","Sweet Sue, Just You (1928)",assistant,Ben Pollack and His Californians | Ben Pollack,Ben Pollack
trimmed:backing-band,Bert Lown and His Orchestra,1,and His Orchestra,Q827409,assistant,Q827409 Bert Lown [mb],"Q827409 Bert Lown [human, mb, via 'Bert Lown']",Bye Bye Blues (1930),assistant,Bert Lown and His Orchestra | Bert Lown,Bert Lown
trimmed:backing-band,Blue Steele and His Orchestra,1,and His Orchestra,Q885891,assistant,Q885891 Blue Steele [mb],"Q885891 Blue Steele [human, mb, via 'Blue Steele']",Girl of My Dreams (1927),assistant,Blue Steele and His Orchestra | Blue Steele,Blue Steele
trimmed:backing-band,Don Azpiazu and His Havana Casino Orchestra,1,and His Havana Casino Orchestra,Q5292181,assistant,"Q5292181 Don Azpiazú [spotify, mb]","Q5292181 Don Azpiazú [human, spotify, mb, via 'Don Azpiazu']",The Peanut Vendor (1930),assistant,Don Azpiazu and His Havana Casino Orchestra | Don Azpiazu,Don Azpiazu
trimmed:backing-band,Frankie Trumbauer and His Orchestra,1,and His Orchestra,Q491416,assistant,Q491416 Frankie Trumbauer [mb],"Q491416 Frankie Trumbauer [human, mb, via 'Frankie Trumbauer']",Singin' the Blues (1927),assistant,Frankie Trumbauer and His Orchestra | Frankie Trumbauer,Frankie Trumbauer
trimmed:backing-band,Irving Aaronson and His Commanders,1,and His Commanders,Q504092,assistant,Q504092 Irving Aaronson [mb],"Q504092 Irving Aaronson [human, mb, via 'Irving Aaronson']",Let's Misbehave (1928),assistant,Irving Aaronson and His Commanders | Irving Aaronson,Irving Aaronson
trimmed:backing-band,Jan Garber and His Orchestra,1,and His Orchestra,Q446902,assistant,Q446902 Jan Garber [mb],"Q446902 Jan Garber [human, mb, via 'Jan Garber']",Baby Face (1926),assistant,Jan Garber and His Orchestra | Jan Garber,Jan Garber
trimmed:backing-band,Jean Goldkette and His Orchestra,1,and His Orchestra,Q484688,assistant,Q484688 Jean Goldkette [mb],"Q484688 Jean Goldkette [human, mb, via 'Jean Goldkette']",Sunday (1926),assistant,Jean Goldkette and His Orchestra | Jean Goldkette,Jean Goldkette
trimmed:backing-band,John Fred and His Playboy Band,1,and His Playboy Band,Q1700124,assistant,Q1700124 John Fred [mb],"Q1700124 John Fred [human, mb, via 'John Fred']",Judy in Disguise (With Glasses) (1968),assistant,John Fred and His Playboy Band | John Fred,John Fred
trimmed:backing-band,Kenny Ball and His Jazzmen,1,and His Jazzmen,Q1364120,assistant,Q1364120 Kenny Ball [mb],"Q1364120 Kenny Ball [human, mb, via 'Kenny Ball']",Midnight in Moscow (1962),assistant,Kenny Ball and His Jazzmen | Kenny Ball,Kenny Ball
trimmed:backing-band,Paul Whiteman and His Orchestra with George Gershwin,1,and His Orchestra with George Gershwin,Q470182,assistant,"Q470182 Paul Whiteman [spotify, mb]","Q470182 Paul Whiteman [human, spotify, mb, via 'Paul Whiteman']",Rhapsody in Blue (1924),assistant,Paul Whiteman and His Orchestra with George Gershwin | Paul Whiteman and His Orchestra | Paul Whiteman,Paul Whiteman
trimmed:backing-band,Paul Whiteman and His Orchestra with the Rhythm Boys,1,and His Orchestra with the Rhythm Boys,Q470182,assistant,"Q470182 Paul Whiteman [spotify, mb]","Q470182 Paul Whiteman [human, spotify, mb, via 'Paul Whiteman']",Mississippi Mud (1928),assistant,Paul Whiteman and His Orchestra with the Rhythm Boys | Paul Whiteman and His Orchestra | Paul Whiteman,Paul Whiteman
trimmed:named-group,Glen Gray and the Casa Loma Orchestra,7,and the Casa Loma Orchestra,Q280103,assistant,Q280103 Glen Gray [mb],"Q280103 Glen Gray [human, mb, via 'Glen Gray']",It's the Talk of the Town (1933); Smoke Rings (1933); Blue Moon (1935); When I Grow Too Old to Dream (1935),assistant,Glen Gray and the Casa Loma Orchestra | Glen Gray,Glen Gray
trimmed:named-group,Nat Shilkret and the Victor Orchestra,3,and the Victor Orchestra,Q1625070,assistant,Q1625070 Nathaniel Shilkret [mb],"Q1625070 Nathaniel Shilkret ~ Nat Shilkret [human, mb, via 'Nat Shilkret']",Diane (1927); Hallelujah! (1927); The Doll Dance (1927),assistant,Nat Shilkret and the Victor Orchestra | Nat Shilkret,Nat Shilkret
trimmed:named-group,Bing Crosby & The Andrews Sisters,2,& The Andrews Sisters,Q72984,assistant,"Q72984 Bing Crosby [spotify, mb]","Q72984 Bing Crosby [human, spotify, mb, via 'Bing Crosby']","Don't Fence Me In (1944); South America, Take It Away (1946)",assistant,Bing Crosby & The Andrews Sisters | Bing Crosby,Bing Crosby
trimmed:named-group,Bing Crosby and The Mills Brothers,2,and The Mills Brothers,Q72984,assistant,"Q72984 Bing Crosby [spotify, mb]","Q72984 Bing Crosby [human, spotify, mb, via 'Bing Crosby']",Dinah (1932); Shine (1932),assistant,Bing Crosby and The Mills Brothers | Bing Crosby,Bing Crosby
trimmed:named-group,Ella Fitzgerald & The Ink Spots,2,& The Ink Spots,Q1768,assistant,"Q1768 Ella Fitzgerald [spotify, mb]","Q1768 Ella Fitzgerald [human, spotify, mb, via 'Ella Fitzgerald']",I'm Making Believe (1944); Into Each Life Some Rain Must Fall (1944),assistant,Ella Fitzgerald & The Ink Spots | Ella Fitzgerald,Ella Fitzgerald
trimmed:named-group,Johnnie Ray & The Four Lads,2,& The Four Lads,Q1198056,assistant,Q1198056 Johnnie Ray [mb],"Q1198056 Johnnie Ray [human, mb, via 'Johnnie Ray']",Cry (1952); The Little White Cloud That Cried (1952),assistant,Johnnie Ray & The Four Lads | Johnnie Ray,Johnnie Ray
trimmed:named-group,Jr. Walker and the All Stars,2,and the All Stars,Q1710284,assistant,Q1710284 Junior Walker [mb],"Q1710284 Junior Walker [human, mb, via 'Jr. Walker']",Shotgun (1965); What Does It Take (To Win Your Love) (1969),assistant,Jr. Walker and the All Stars | Jr. Walker,Jr. Walker
trimmed:named-group,Prince & The Revolution,2,& The Revolution,Q7542,assistant,"Q7542 Prince [spotify, mb]","Q7542 Prince ~ Prince (musician) [human, spotify, mb, via 'Prince']",Purple Rain (1984); When Doves Cry (1984),assistant,Prince & The Revolution | Prince,Prince
trimmed:named-group,Sam the Sham and the Pharaohs,2,and the Pharaohs,Q1971786,assistant,Q1971786 Sam the Sham [mb],"Q1971786 Sam the Sham [human, mb, via 'Sam the Sham']",Wooly Bully (1965); Li'l Red Riding Hood (1966),assistant,Sam the Sham and the Pharaohs | Sam the Sham,Sam the Sham
trimmed:named-group,Billy J. Kramer and the Dakotas,1,and the Dakotas,Q863140,assistant,Q863140 Billy J. Kramer [mb],"Q863140 Billy J. Kramer [human, mb, via 'Billy J. Kramer']",Little Children (1964),assistant,Billy J. Kramer and the Dakotas | Billy J. Kramer,Billy J. Kramer
trimmed:named-group,Billy Vera and the Beaters,1,and the Beaters,Q434492,assistant,Q434492 Billy Vera [mb],"Q434492 Billy Vera [human, mb, via 'Billy Vera']",At This Moment (1987),assistant,Billy Vera and the Beaters | Billy Vera,Billy Vera
trimmed:named-group,Bob Crosby and the Bob Cats,1,and the Bob Cats,Q887871,assistant,"Q887871 Bob Crosby [spotify, mb]","Q887871 Bob Crosby [human, spotify, mb, via 'Bob Crosby']",Big Noise from Winnetka (1938),assistant,Bob Crosby and the Bob Cats | Bob Crosby,Bob Crosby
trimmed:named-group,Bob Seger & The Silver Bullet Band,1,& The Silver Bullet Band,Q364131,assistant,"Q364131 Bob Seger [spotify, mb]","Q364131 Bob Seger [human, spotify, mb, via 'Bob Seger']",Old Time Rock and Roll (1978),assistant,Bob Seger & The Silver Bullet Band | Bob Seger,Bob Seger
trimmed:named-group,"Bobby ""Boris"" Pickett and the Crypt-Kickers",1,and the Crypt-Kickers,Q715842,assistant,"Q715842 Bobby Pickett [spotify, mb]","Q715842 Bobby Pickett [human, spotify, mb, via 'Bobby ""Boris"" Pickett']",Monster Mash (1962),assistant,"Bobby ""Boris"" Pickett and the Crypt-Kickers | Bobby ""Boris"" Pickett","Bobby ""Boris"" Pickett"
trimmed:named-group,Bobby Vee and the Strangers,1,and the Strangers,Q448336,assistant,"Q448336 Bobby Vee [spotify, mb]","Q448336 Bobby Vee [human, spotify, mb, via 'Bobby Vee']",Come Back When You Grow Up (1967),assistant,Bobby Vee and the Strangers | Bobby Vee,Bobby Vee
trimmed:named-group,Carmen Miranda & The Andrews Sisters,1,& The Andrews Sisters,Q121655,assistant,Q121655 Carmen Miranda [mb],"Q121655 Carmen Miranda [human, mb, via 'Carmen Miranda']",Cuanto Le Gusta (1948),assistant,Carmen Miranda & The Andrews Sisters | Carmen Miranda,Carmen Miranda
trimmed:named-group,DJ Jazzy Jeff & The Fresh Prince,1,& The Fresh Prince,,,"Q553846 DJ Jazzy Jeff [spotify, mb]","Q553846 DJ Jazzy Jeff [human, spotify, mb, via 'DJ Jazzy Jeff']",Yo Home to Bel-Air (1992),single-shortened,DJ Jazzy Jeff & The Fresh Prince | DJ Jazzy Jeff,DJ Jazzy Jeff
trimmed:named-group,Danny Kaye & The Andrews Sisters,1,& The Andrews Sisters,Q213425,assistant,"Q213425 Danny Kaye [spotify, mb]","Q213425 Danny Kaye [human, spotify, mb, via 'Danny Kaye']","Civilization (Bongo, Bongo, Bongo) (1947)",assistant,Danny Kaye & The Andrews Sisters | Danny Kaye,Danny Kaye
trimmed:named-group,Diana Ross and the Supremes,1,and the Supremes,Q36290,assistant,"Q36290 Diana Ross [spotify, mb]","Q36290 Diana Ross [human, spotify, mb, via 'Diana Ross']",Love Child (1968),assistant,Diana Ross and the Supremes | Diana Ross,Diana Ross
trimmed:named-group,Dion & The Belmonts,1,& The Belmonts,Q1226921,assistant,"Q1226921 Dion DiMucci [spotify, mb]","Q1226921 Dion DiMucci [human, spotify, mb, via 'Dion']",A Teenager in Love (1959),assistant,Dion & The Belmonts | Dion,Dion
trimmed:named-group,Frankie Lymon & The Teenagers,1,& The Teenagers,Q683420,assistant,Q683420 Nicolás Sestito [mb],"Q683420 Nicolás Sestito ~ Frankie Lymon [human, mb, via 'Frankie Lymon']",Why Do Fools Fall in Love (1956),assistant,Frankie Lymon & The Teenagers | Frankie Lymon,Frankie Lymon
trimmed:named-group,Gary Puckett and the Union Gap,1,and the Union Gap,Q22132530,assistant,Q22132530 Gary Puckett [mb],"Q22132530 Gary Puckett [human, mb, via 'Gary Puckett']",Young Girl (1968),assistant,Gary Puckett and the Union Gap | Gary Puckett,Gary Puckett
trimmed:named-group,Keala Settle & The Greatest Showman Ensemble,1,& The Greatest Showman Ensemble,Q13560560,assistant,"Q13560560 Keala Settle [spotify, mb]","Q13560560 Keala Settle [human, spotify, mb, via 'Keala Settle']",This Is Me (2017),assistant,Keala Settle & The Greatest Showman Ensemble | Keala Settle,Keala Settle
trimmed:named-group,Merrilee Rush and the Turnabouts,1,and the Turnabouts,Q6820153,assistant,Q6820153 Merrilee Rush [mb],"Q6820153 Merrilee Rush [human, mb, via 'Merrilee Rush']",Angel of the Morning (1968),assistant,Merrilee Rush and the Turnabouts | Merrilee Rush,Merrilee Rush
trimmed:named-group,Nick Cave & The Bad Seeds,1,& The Bad Seeds,Q192668,assistant,"Q192668 Nick Cave [spotify, mb]","Q192668 Nick Cave [human, spotify, mb, via 'Nick Cave']",Red Right Hand (1994),assistant,Nick Cave & The Bad Seeds | Nick Cave,Nick Cave
trimmed:named-group,Perry Como & The Fontane Sisters,1,& The Fontane Sisters,Q333405,assistant,"Q333405 Perry Como [spotify, mb]","Q333405 Perry Como [human, spotify, mb, via 'Perry Como']",You're Just in Love (1951),assistant,Perry Como & The Fontane Sisters | Perry Como,Perry Como
trimmed:named-group,Post Malone & The Weeknd,1,& The Weeknd,,,"Q21621919 Post Malone [spotify, mb]","Q21621919 Post Malone [human, spotify, mb, via 'Post Malone']",One Right Now (2022),single-shortened,Post Malone & The Weeknd | Post Malone,Post Malone
